SKU,Description,Warehouse,Wire,Trailer,FN_Assy,Final Station,PDI,QC,Ship,ETO,Bat,Last Modified
SDG40-006,"SDG40S-8E1 SURGE DUAL AXLE SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG40-007,"SDG40S-8E1 ELECTRIC DUAL AXLE SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,120.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG40-008,"SDG40S-8E1 SINGLE AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,60.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG40-009,"SDG40S-8E1 SINGLE AXLE ELECTRIC TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG40-010,"SDG40S-8E1 SURGE DUAL AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG40-011,"SDG40S-8E1 ELECTRIC DUAL AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",10.0,0.0,180.0,25.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG40-012,"SDG45S-8E2 SINGLE AXLE SURGE TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,60.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-001,"SDG45S-8E2 SINGLE AXLE ELECTRIC TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-002,"SDG45S-8E2 DUAL AXLE SURGE TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-003,"SDG45S-8E2 DUAL AXLE ELECTRIC TRAILER 2"" BALL HITCH ASSEMBLY",10.0,0.0,150.0,25.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG45-004,"SDG45S-8E2 SINGLE AXLE SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,60.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-005,"SDG45S-8E2 SINGLE AXLE ELECTRIC TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-006,"SDG45S-8E2 DUAL AXLE SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-007,"SDG45S-8E2 DUAL AXLE ELECTRIC TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,120.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-008,"SDG45S-8E2 SINGLE AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,60.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-009,SDG45S-8E2 BC CL CLNT EBH OES RV TEL UR DECAL ACCESSORY KIT,5.0,0.0,60.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-010,"SDG45S-8E2 SINGLE AXLE ELECTRIC TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG45-011,"SDG45S-8E2 DUAL AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",10.0,0.0,150.0,25.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG45-012,"SDG45S-8E2 DUAL AXLE ELECTRIC TRAILER 3"" RING HITCH ASSEMBLY",10.0,0.0,150.0,25.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG45-013,"SDG45S-8E2 DUAL AXLE SURGE TRAILER 2"" BULLDOG BALL HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG65-001,"SDG65S-8E1 SURGE TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,120.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG65-002,"SDG65S-8E1 ELECTRIC TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,150.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG65-003,"SDG65S-8E1 SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,120.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG65-004,"SDG65S-8E1 ELECTRIC TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,150.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG65-005,"SDG65S-8E1 SURGE TRAILER 3"" RING HITCH ASSEMBLY",10.0,0.0,180.0,30.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG65-006,"SDG65S-8E1 ELECTRIC TRAILER 3"" RING  HITCH ASSEMBLY",10.0,0.0,210.0,20.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG65-007,"SDG65S-8E1 ELECTRIC TRAILER 2""  BULLDOG BALL HITCH ASSEMBLY",5.0,0.0,150.0,45.0,Final,30.0,30.0,30.0,0,0.0,
BOSS25-014,BOSS25-010 variant (seeded from BOSS25-010),10.0,35.0,120.0,180.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-015,EBOSS 25-25 HYBRID 65 TRAILER HYD ASSEMBLY,10.0,35.0,90.0,300.0,Final,60.0,60.0,30.0,0,1.0,
BOSS400HS-002,EBOSS 400 PM SKID ASSEMBLY IMPERIAL SKID,10.0,35.0,0.0,45.0,Final,60.0,60.0,30.0,960,5.0,
PDS185EZ-009,PDS185S-6EZ1 SKID NO FORK POCKET BLU DOOR ASSEMBLY,5.0,60.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,2026-05-26
BOSS25-016,"EBOSS 25-25 REV B HYBRID DUAL AXLE ELEC TRAILER 3"" RING HITCH ASSEMBLY ES",10.0,60.0,120.0,180.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS25-017,"EBOSS 25-25 REV B HYBRID DUAL AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY FOR HERC",10.0,60.0,180.0,90.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
PDS400-004,,10.0,0.0,0.0,335.0,ComAcc,30.0,30.0,30.0,0,0.0,2026-05-27
SDG40-13,,0.0,0.0,0.0,0.0,Final,0.0,0.0,0.0,0,0.0,2026-05-26
SDG40-013,SDG40S-8E1 SKID NO FORK POCKET ASSEMBLY,10.0,0.0,180.0,25.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
PDS400S-TBA,,10.0,,,,ComAcc,,,,0,,2026-05-27
PDSF750-003,"PDSF750DP-6E1 AIR COMPRESSOR DA ELEC 3"" RH ASSEMBLY",10.0,,,404.0,ComAcc,,,,0,,2026-05-27
