SKU,Description,Warehouse,Wire,Trailer,FN_Assy,Final Station,PDI,QC,Ship,ETO,Bat,Last Modified
BOSS400HS-003,EBOSS 400 150KWH PM SKID ASSEMBLY,10.0,60.0,40.0,90.0,Final,60.0,60.0,30.0,960,5.0,2026-05-26
BOSS70-001,"EBOSS 70-45 HYBRID DUAL AXLE SURGE TRAILER 2"" BALL HITCH ASSEMBLY",10.0,60.0,90.0,180.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-002,"ENERGY BOSS 70 DUAL AXLE ELEC TRAILER 2"" BALL HITCH ASSEMBLY",10.0,60.0,120.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-003,"ENERGY BOSS 70 DUAL AXLE SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",10.0,60.0,90.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-004,"ENERGY BOSS 70 DUAL AXLE ELEC TRAILER 2-5/16"" BALL HITCH ASSEMBLY",10.0,60.0,120.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-005,"ENERGY BOSS 70 DUAL AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,90.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-006,"ENERGY BOSS 70 DUAL AXLE ELEC TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,120.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-007,"ENERGY BOSS 70 CAT XQ35 HYBRID DUAL AXLE SURGE TRAILER 2"" BALL HITCH ASSEMBLY",10.0,60.0,120.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-009,"ENERGY BOSS 70 CAT XQ35 HYBRID DUAL AXLE SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",10.0,60.0,120.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-010,"ENERGY BOSS 70 CAT XQ35 HYBRID DUAL AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,120.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-40 XXX,EBOSS 70-40 HYBRID ESTIMATION ASSEMBLY,10.0,60.0,180.0,300.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-45 XXX,EBOSS 70-45 HYBRID ESTIMATION ASSEMBLY,10.0,60.0,150.0,300.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-65 XXX,EBOSS 70-65 HYBRID ESTIMATION ASSEMBLY,10.0,60.0,150.0,300.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-012,"EBOSS 70-40 HYBRID CS DUAL AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,180.0,180.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-019,"EBOSS 70-45 HYBRID DUAL AXLE ELECTRIC TRAILER FOR EXT FUEL TANK 3"" RING HITCH ASSEMBLY",10.0,60.0,150.0,180.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-017,"EBOSS 70-65 HYBRID DUAL AXLE SURGE TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,120.0,180.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-25H,ENERGY BOSS 70KVA 25KWH OUTPUT HEAD UNIT ASSEMBLY,10.0,60.0,60.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-25HB,ENERGY BOSS 70KVA 25KWH OUTPUT HEAD UNIT ASSEMBLY BLACK,10.0,35.0,60.0,0.0,Final,60.0,60.0,30.0,0,1.0,
BOSS70-25-S001,OBOLETE USE PART# BOSS70-001 ENERGY BOSS 70KVA 56KW OUTPUT 25KWH FULL HYD ASSEMBLY,10.0,60.0,0.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70-A010,"SDG400S-8E1 ELECTRIC TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,240.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70HS-001,EBOSS 70 PM SKID ASSEMBLY,10.0,60.0,20.0,20.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70HS-003,EBOSS 70 PM CE COMPLIANT PM SKID ASSEMBLY,10.0,60.0,20.0,45.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70HT-002,"ENERGY BOSS 70 HEAD SINGLE AXLE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",10.0,60.0,60.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
BOSS70HT-003,"ENERGY BOSS 70 HEAD SINGLE AXLE TRAILER 3"" RING HITCH ASSEMBLY",10.0,60.0,60.0,0.0,Final,60.0,60.0,30.0,0,1.0,2026-05-26
PDS100 XXX,PDS100S-6E1 ESTIMATION ASSEMBLY,5.0,0.0,0.0,150.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS100-001,"PDS100S-6E1 W/UNDERCARRIAGE 2"" BALL HITCH ASSEMBLY",10.0,0.0,0.0,118.0,ComAcc,15.0,30.0,30.0,0,0.0,2026-05-27
PDS100-002,"PDS100S-6E1 W/UNDERCARRIAGE 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS100-003,"PDS100S-6E1 W/UNDERCARRIAGE 3"" RING HITCH ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185EZ-001,"PDS185S-6EZ1 W/UNDERCARRIAGE 2"" BALL HITCH BLU DOOR ASSEMBLY",10.0,0.0,0.0,158.0,ComAcc,30.0,30.0,30.0,0,0.0,2026-05-27
PDS185EZ-002,"PDS185S-6EZ1 W/UNDERCARRIAGE 2-5/16"" BALL HITCH BLU DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185EZ-003,"PDS185S-6EZ1 W/UNDERCARRIAGE 3"" RING HITCH BLU DOOR ASSEMBLY",10.0,0.0,0.0,158.0,ComAcc,30.0,30.0,30.0,0,0.0,2026-05-27
PDS185EZ-004,"PDS185S-6EZ1 W/UNDERCARRIAGE 2"" BALL HITCH WHT DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185EZ-005,"PDS185S-6EZ1 W/UNDERCARRIAGE 2-5/16"" DEM BALL HITCH WHT DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS185EZ-006,"PDS185S-6EZ1 W/UNDERCARRIAGE 3"" RING HITCH WHT DOOR ASSEMBLY",5.0,0.0,0.0,120.0,ComAcc,15.0,30.0,30.0,0,0.0,
