Item,FG family,Side,Time (min),Notes
RHK,PDS185EZ,Compressor,30,
RHK,PDS375DP,Compressor,90,
SL,SDG25,Generator,40,
SL,SDG45,Generator,60,
SL,SDG65,Generator,60,
SL,SDG125,Generator,90,
SL,SDG150,Generator,150,
SL,SDG220,Generator,180,
SL,SDG400,Generator,240,
LF,SDG13,Generator,180,
LF,SDG25,Generator,180,
TB,SDG13,Generator,120,
