SKU,Description,Warehouse,AccKIT,Nameplate Prep,BattSubRaw,PMAcc,GenAcc,Compressor,Last Modified
PDS310DP-A001,PDSG310DP6E1 BHW EBH ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,65.0,
PDS310DP-A002,PDSG310DP6E1 BHW EBH TEL ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,118.0,
PDS310DP-A003,PDSG310DP6E1 EBH OES ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,90.0,
PDS310DP-A004,PDSG310DP6E1 EBH TEL ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,98.0,
PDS310DP-A005,PDSG310DP6E1 EBH OES TEL ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,143.0,
PDS375DP-A001,PDS375DP6E1 BHW EBH ACCESSORRY KIT,15.0,15.0,0.0,0.0,0.0,0.0,65.0,
PDS375DP-A002,PDS375DP6E1 BHW EBH OES ACCESSORRY KIT,20.0,20.0,0.0,0.0,0.0,0.0,110.0,
PDS375DP-A003,PDS375DP6E1 BHW EBH OES TEL ACCESSORRY KIT,10.0,10.0,0.0,0.0,0.0,0.0,163.0,
PDS375DP-A004,PDS375DP6E1 EBH OES ACCESSORRY KIT,10.0,10.0,0.0,0.0,0.0,0.0,90.0,
PDS375DP-A005,PDS375DP6E1 EBH TEL ACCESSORRY KIT,25.0,25.0,0.0,0.0,0.0,0.0,98.0,
PDS375DP-A006,PDS375DP6E1 BHW EBH OES TEL UR DECAL ACCESSORRY KIT,15.0,15.0,0.0,0.0,0.0,0.0,178.0,
PDS375DP-A007,PDS375DP6E1 EBH TEL UR DECAL ACCESSORRY KIT,20.0,20.0,0.0,0.0,0.0,0.0,113.0,
PDS375DP-A008,PDSF375DP6E1 EBH OES TEL UR DECAL ACCESSORY KIT,0.0,0.0,0.0,0.0,0.0,0.0,158.0,
PDS375DP-A009,PDSF375DP6E1 YWP ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,0.0,
PDS375DP-A010,PDS375DP6E1 OES TEL UR DECAL ACCESSORY KIT,15.0,15.0,0.0,0.0,0.0,0.0,113.0,
PDS375DP-A011,PDS375DP6E1 EBH TELT3 ES DECAL ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,113.0,
PDS375DP-A012,PDS375DP6E1 EBH ES DECAL ACCESSORY KIT,35.0,35.0,0.0,0.0,0.0,0.0,60.0,
PDS375DP-A013,PDS375DP6E1 BHW CCV EBH HFF HR OES TEL UR DECAL ACCESSORY KIT,20.0,20.0,0.0,0.0,0.0,0.0,343.0,
PDS375DP-A014,PDS375DP6E1 EBH OES TELT3 ES DECAL ACCESSORY KIT,25.0,25.0,0.0,0.0,0.0,0.0,158.0,
PDS375DP-A015,PDS375DP6E1 BHW CCV EBH HFF HR TELVL ACCESORY KIT,30.0,30.0,0.0,0.0,0.0,0.0,283.0,
PDS375DP-A016,PDS375DP6E1 BC BD BHW CCV EBH HFF PAS ACCESSORY KIT,10.0,10.0,0.0,0.0,0.0,0.0,270.0,
PDS375DP-CA001,PDS375DPC6E1 BHW EBH ACCESSORRY KIT,15.0,15.0,0.0,0.0,0.0,0.0,65.0,
PDS375DP-CA002,PDS375DPC6E1 BHW EBH OES ACCESSORRY KIT,20.0,20.0,0.0,0.0,0.0,0.0,110.0,
PDS375DP-CA003,PDS375DPC6E1 BHW EBH OES TEL ACCESSORRY KIT,10.0,10.0,0.0,0.0,0.0,0.0,163.0,
PDS375DP-CA004,PDS375DPC6E1 EBH OES ACCESSORRY KIT,10.0,10.0,0.0,0.0,0.0,0.0,90.0,
PDS375DP-CA005,PDS375DPC6E1 EBH TEL ACCESSORRY KIT,10.0,10.0,0.0,0.0,0.0,0.0,98.0,
